video,original_score,inpainted_score
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_goo_8,0.991216152796494,0.9885694995862769
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_med_11,0.9878710774202237,0.984461726817776
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_med_18,0.9919498071947762,0.9908414149326722
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_med_23,0.992037484984465,0.9904774510784072
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_med_27,0.9959533221184556,0.9959335557111181
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_med_3,0.9849250879530946,0.986709606695641
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np2_fr_med_19,0.9963608044535447,0.9965515581256572
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np2_le_med_21,0.993267538503006,0.9917289020291836
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np2_le_med_22,0.994006081471445,0.991808483618405
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np3_fr_goo_6,0.9909298304203944,0.9894793860120316
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np3_fr_med_24,0.9912528166452794,0.9906599045884382
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np4_fr_bad_28,0.987405009634006,0.9842514704574362
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np4_fr_med_25,0.9881197714157066,0.9891748623261492
Big_League_Chew_chew_h_nm_np1_fr_goo_0,0.9836295193873547,0.9923651134046892
Big_League_Chew_chew_h_nm_np1_fr_goo_1,0.9873929689307646,0.9937755652349733
Blonde_being_brushed_brush_hair_f_nm_np2_ri_med_0,0.9842810825835143,0.989013502320315
Boom_Snap_Clap_clap_u_nm_np1_fr_med_1,0.9745444261654311,0.9811854179509795
Boom__Snap__Clap!_(Challenge)_clap_u_nm_np1_fr_med_0,0.9850520993298981,0.9863486271674136
Boom__Snap__Clap!_(Challenge)_clap_u_nm_np1_fr_med_1,0.9839301683721349,0.9864626911950427
Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_1,0.9740652346160454,0.9794666478925622
Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_ba_goo_1,0.9841118477125325,0.9861493176355565
Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_fr_goo_0,0.9768071004850802,0.9828980713243108
Bubble_Blowing_Bubble_Gum_chew_h_nm_np1_fr_bad_1,0.9851522140517511,0.9897966140973523
Bubble_Blowing_Bubble_Gum_chew_h_nm_np1_fr_bad_2,0.987140343367414,0.9911916879284318
Bubble_Gum_Club_2_chew_h_nm_np2_fr_med_1,0.989920452125917,0.9950362714720967
Bubble_blowing_3!_chew_h_nm_np1_le_bad_0,0.9838421792830886,0.9888784475336108
Bubble_blowing_3!_chew_h_nm_np1_le_bad_1,0.9861643032493277,0.9885454087066873
Bubble_blowing_3!_chew_h_nm_np1_le_bad_2,0.9900756217653012,0.9911381723200093
CSU_Cesar_Chavez_Day_Celebration_and_Award_Ceremony_2009_Part_7_shake_hands_f_nm_np2_le_med_1,0.9929688998107651,0.989909255035217
CSU_Cesar_Chavez_Day_Celebration_and_Award_Ceremony_2009_Part_7_shake_hands_f_nm_np2_le_med_2,0.9918151286412419,0.9888745602408607
Cachaca_cocktails_pour_u_nm_np1_fr_med_0,0.9926603087683571,0.9935001033048169
Cachaca_cocktails_pour_u_nm_np1_fr_med_1,0.9907227861174847,0.9930762967638059
Cachaca_cocktails_pour_u_nm_np1_fr_med_2,0.9949514743155117,0.9945938356367164
Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_nm_np1_ri_goo_3,0.980551789343536,0.9870036824913443
ChelseaLately-Chelsea_ride_horse_u_nm_np1_ba_med_1,0.9787325163911861,0.9820798694863668
Chest_workout-_hip_pushups_pushup_u_nm_np1_fr_med_3,0.9825893135809534,0.984576210889238
Chest_workout-_hip_pushups_pushup_u_nm_np1_fr_med_4,0.9835471078490283,0.9843946412628705
Chest_workout-_hip_pushups_pushup_u_nm_np1_ri_med_2,0.9913466383182271,0.9880173809448477
Chris_Comfort_s_Push_Up_Workout_Part_I_pushup_f_nm_np1_ri_goo_0,0.9934849347361179,0.9949081814532731
Chris_Comfort_s_Push_Up_Workout_Part_I_pushup_f_nm_np1_ri_goo_1,0.9922164159157689,0.9948841634311939
Chris_Comfort_s_Push_Up_Workout_Part_I_pushup_f_nm_np1_ri_goo_2,0.9931803103774569,0.9940045410056055
Clay_sBasketballSkillz_dribble_f_nm_np1_fr_med_18,0.9862437072637711,0.9907212847329685
Clay_sBasketballSkillz_dribble_f_nm_np1_le_med_1,0.990017896794711,0.9910597900491936
Clay_sBasketballSkillz_pick_f_nm_np1_ri_med_8,0.9915882616717213,0.9917019332487806
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_13,0.9915466894879991,0.9904835057476009
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_3,0.9911246310417734,0.9889155100486176
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_4,0.9926072756704221,0.9918727620902501
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_5,0.9930104993537361,0.9913873535058094
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_6,0.9910200021687712,0.9877867567474139
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_7,0.9915838916524689,0.9873703626998456
Clay_sBasketballSkillz_shoot_ball_u_nm_np1_ba_med_12,0.9836899328122038,0.9821082742601557
Clay_sBasketballSkillz_shoot_ball_u_nm_np1_ba_med_17,0.9811449787514993,0.979920565594337
Clay_sBasketballSkillz_shoot_ball_u_nm_np1_ba_med_9,0.9883526563673979,0.9891332992111412
Cocktail_Pouring_pour_u_nm_np2_ri_med_0,0.9935313980463217,0.9932734138050482
Compilationknifethrowing_throw_u_nm_np1_ba_med_1,0.985429740559963,0.9852539452226362
Compilationknifethrowing_throw_u_nm_np1_ba_med_10,0.9877095012120182,0.9856680811441024
Compilationknifethrowing_throw_u_nm_np1_ba_med_12,0.9881726264359104,0.9848651088260434
Compilationknifethrowing_throw_u_nm_np1_ba_med_13,0.9877930584839245,0.9879094300755014
Compilationknifethrowing_throw_u_nm_np1_ba_med_14,0.989069893134219,0.9856396828483343
Compilationknifethrowing_throw_u_nm_np1_ba_med_16,0.9890254298038214,0.9845752260396093
Compilationknifethrowing_throw_u_nm_np1_ba_med_18,0.9791117277541336,0.9781999971862128
Compilationknifethrowing_throw_u_nm_np1_ba_med_19,0.9758072705058731,0.9778088542223737
Compilationknifethrowing_throw_u_nm_np1_ba_med_2,0.9852441593705693,0.9834583274658526
Compilationknifethrowing_throw_u_nm_np1_ba_med_3,0.9837888268121823,0.9841086050885449
Compilationknifethrowing_throw_u_nm_np1_ba_med_4,0.9833164517576736,0.9832597942668223
Compilationknifethrowing_throw_u_nm_np1_ba_med_6,0.9826931405305632,0.9817956695169177
Compilationknifethrowing_throw_u_nm_np1_ba_med_7,0.9856385696882127,0.9843693642936996
Cuba_Libre_-_Just_do_it_with_Drinkadrink_com_pour_u_nm_np1_fr_goo_0,0.996740125666112,0.9930799054261336
