video_name,fvd_score
Rum_Mixed_Drinks-_Part_4_-_How_to_Make_the_Cuba_Libre_Mixed_Drink_pour_u_nm_np1_fr_goo_2,386.3865541093223
Shadow_of_a_Doubt_drink_h_nm_np1_fr_goo_8,126.86857913455691
Mr__Bubblegum_chew_h_nm_np1_fr_med_1,183.18254715270905
pull_ups_pullup_u_nm_np1_ba_med_2,430.2809083173671
Big_League_Chew_chew_h_nm_np1_fr_goo_1,284.2475164788321
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_3,237.74110213990042
Proper_Way_to_Do_Pull_Ups_pullup_u_nm_np1_ri_goo_3,304.08639434357053
DefensivePistolShootingTechniques_shoot_gun_f_nm_np1_fr_med_3,190.84114901743914
Tenshin_Ryu_Aikido_draw_sword_f_nm_np1_ri_med_0,404.1884852750527
AdamandAlvonplayingbasketball2_throw_f_nm_np1_fr_med_1,170.33309411958038
ReggieMillerTakesonThreeAverageGuysinaShootout_shoot_ball_u_nm_np1_ba_med_10,135.74781505060352
Iaido_video_instruction_series_Wehrhahn_Sensei_sword_exercise_f_nm_np1_le_bad_1,137.0456458113581
BaseballSwingAnalysis_swing_baseball_u_nm_np1_ba_med_0,259.15089506397993
Gum_Chewing_Girl_chew_h_nm_np1_fr_med_2,149.0811804383756
Ninja_Warrior_Ultimate_Push_up_Training_pushup_f_nm_np1_le_goo_2,207.88645478575398
handstand_tutorial___how_to_do_a_handstand_basic_breakdance_handstand_f_nm_np1_ri_med_1,342.3824499323473
LearnToShootFromTheMaster_shoot_ball_f_nm_np1_ba_med_4,127.21939456873353
ReggieMillerTakesonThreeAverageGuysinaShootout_shoot_ball_u_nm_np1_ba_med_11,124.30164428861308
wave_and_say_hi_wave_u_nm_np1_fr_med_0,252.44468358186157
Scott_Can_t_Make_His_Bubblegum_Pop_chew_h_nm_np1_fr_med_0,308.6412445372074
push_ups_pushup_f_nm_np1_ri_goo_2,323.4135140693801
35_pull_ups_pullup_f_nm_np1_fr_goo_1,228.09277998156495
How_To_Pour_Ice_Tea_pour_u_nm_np1_fr_med_2,139.80713910365768
20_good_form_pullups_pullup_f_nm_np1_ri_goo_2,261.49222374509714
50_FIRST_DATES_stand_u_nm_np1_fr_med_8,490.6706395086109
YouTube_smiles!_smile_h_nm_np1_fr_med_16,512.1697060680156
girl_smoking_a_cigarette_smoke_h_nm_np1_fr_med_2,254.86729084088338
DC_Personal_Trainer_-_How_To_Do_A_Push-up_The_RIGHT_Way_pushup_f_nm_np1_ri_goo_0,142.59327239882708
My_Lil__Man_clapping_his_Hands_clap_u_nm_np1_fr_med_1,545.8468102203831
pull_ups_pullup_u_nm_np1_fr_med_5,449.6592932888535
Big_League_Chew_chew_h_nm_np1_fr_goo_0,297.19784410301577
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_19,216.6856952161432
boom-snap-clap_clap_u_nm_np1_fr_med_3,141.259005320212
Shootingattherange_shoot_gun_f_nm_np1_ri_med_0,259.0686914735775
PlayingBasketballGotWater_shoot_ball_f_nm_np1_ba_med_0,243.95233540444823
