video,original_score,inpainted_score
50_FIRST_DATES_sit_f_nm_np1_le_med_4,0.9850141331301026,0.9810628022178511
50_FIRST_DATES_stand_u_nm_np1_fr_med_8,0.9785864390358208,0.9824098116245568
50_pull_ups_made_in_germany_pullup_f_nm_np1_le_med_0,0.9929903218003638,0.9896394497975154
50_pull_ups_made_in_germany_pullup_f_nm_np1_le_med_1,0.9939701400643318,0.9867992373066166
5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_fr_goo_2,0.9886333974255962,0.9842542660164172
5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_fr_goo_3,0.9895548611012358,0.9846590361651835
5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_fr_goo_4,0.9874275660038602,0.9821620541505292
5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_le_goo_1,0.9902272272616899,0.9855576988829402
5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_le_goo_5,0.9920750050271511,0.9889511794486824
6arrowswithin30seconds_shoot_bow_f_nm_np1_fr_med_0,0.9906652875045063,0.9880637030415222
6arrowswithin30seconds_shoot_bow_f_nm_np1_fr_med_1,0.9901497046337705,0.9882141552628634
6arrowswithin30seconds_shoot_bow_f_nm_np1_fr_med_2,0.9896338347472697,0.9879102811755077
6arrowswithin30seconds_shoot_bow_f_nm_np1_fr_med_3,0.9889884318934566,0.9882397045606733
6arrowswithin30seconds_shoot_bow_f_nm_np1_fr_med_4,0.9885503285442901,0.9865481240309136
ALeapToFreedom_ride_horse_f_nm_np1_ba_med_1,0.9939670766623461,0.9915262503579405
ALeapToFreedom_ride_horse_f_nm_np1_ri_med_0,0.9860114483803394,0.9873411289794002
Abs__Situps__Crunches_situp_u_nm_np3_ri_goo_4,0.9965299819964543,0.9944098187055966
Abs__Situps__Crunches_situp_u_nm_np3_ri_goo_5,0.9975905129553655,0.9952921303791951
Abs__Situps__Crunches_situp_u_nm_np3_ri_goo_6,0.9928720432876561,0.9941329559919346
AdamandAlvonplayingbasketball1_shoot_ball_f_nm_np1_ba_med_11,0.9795601397681762,0.9784841997201102
AdamandAlvonplayingbasketball2_throw_f_nm_np1_fr_med_1,0.9755798487450726,0.9788431702888518
After_work_smoke_in_the_garage_smoke_h_nm_np1_fr_bad_0,0.9875356721776255,0.9888041892413376
AgriculturalAviation_walk_f_nm_np1_le_med_0,0.9704173776707774,0.9796060369270851
AgriculturalAviation_walk_f_nm_np1_le_med_1,0.9849673588293568,0.9916712456515692
Alban_Hayoz_solo_climb_(klettern)_climb_f_nm_np1_ba_med_1,0.9902831957557608,0.992890003997728
Alex_applauding_himself_clap_u_nm_np1_fr_med_0,0.9771879315207534,0.9893514916689782
Anna_Rawson_Driver_Practice_golf_f_nm_np1_ri_bad_0,0.9888487239893244,0.9887011896570602
Anna_Rawson_Lesson_side_by_side_golf_f_nm_np2_ba_goo_0,0.9915998880648451,0.9917299684663106
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_0,0.9816464727380207,0.9772862238014136
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_1,0.9792804623466941,0.9747220258220958
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_10,0.9825065112222168,0.9788567702435808
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_11,0.9785451968477022,0.9752890386666995
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_12,0.9819585693142189,0.9799877406854918
